quantile,model,importance
0.025000000000000022,Classical,0.5162388149824009
0.025000000000000022,MLP,0.13542558124462073
0.025000000000000022,ESN,0.34833560377297834
0.04999999999999999,Classical,0.402746790367466
0.04999999999999999,MLP,0.11622707745870513
0.04999999999999999,ESN,0.48102613217382884
0.09999999999999998,Classical,0.4829842612237109
0.09999999999999998,MLP,0.08351249079500853
0.09999999999999998,ESN,0.43350324798128054
0.25,Classical,0.5271579976199622
0.25,MLP,0.15259382136763022
0.25,ESN,0.3202481810124077
0.5,Classical,0.5606566025201428
0.5,MLP,0.1487536056271172
0.5,ESN,0.2905897918527399
0.75,Classical,0.5261668804234376
0.75,MLP,0.20257361198072607
0.75,ESN,0.27125950759583634
0.9,Classical,0.41108602282703066
0.9,MLP,0.21710634842822435
0.9,ESN,0.371807628744745
0.95,Classical,0.38421835165223295
0.95,MLP,0.20292268728204382
0.95,ESN,0.4128589610657231
0.975,Classical,0.2630878270559163
0.975,MLP,0.29698123120495373
0.975,ESN,0.4399309417391299
